Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,22.410000,22.410000,22.410000,22.410000,16.763330,0
2020-01-03,22.370001,22.370001,22.370001,22.370001,16.733412,0
2020-01-06,22.400000,22.400000,22.400000,22.400000,16.755850,0
2020-01-07,22.379999,22.379999,22.379999,22.379999,16.740889,0
2020-01-08,22.430000,22.430000,22.430000,22.430000,16.778290,0
2020-01-09,22.500000,22.500000,22.500000,22.500000,16.830654,0
2020-01-10,22.490000,22.490000,22.490000,22.490000,16.823174,0
2020-01-13,22.559999,22.559999,22.559999,22.559999,16.875534,0
2020-01-14,22.570000,22.570000,22.570000,22.570000,16.883017,0
2020-01-15,22.600000,22.600000,22.600000,22.600000,16.905453,0
2020-01-16,22.650000,22.650000,22.650000,22.650000,16.942858,0
2020-01-17,22.680000,22.680000,22.680000,22.680000,16.965300,0
2020-01-21,22.650000,22.650000,22.650000,22.650000,16.942858,0
2020-01-22,22.719999,22.719999,22.719999,22.719999,16.995218,0
2020-01-23,22.770000,22.770000,22.770000,22.770000,17.032621,0
2020-01-24,22.740000,22.740000,22.740000,22.740000,17.010180,0
2020-01-27,22.719999,22.719999,22.719999,22.719999,16.995218,0
2020-01-28,22.680000,22.680000,22.680000,22.680000,16.965300,0
2020-01-29,22.680000,22.680000,22.680000,22.680000,16.965300,0
2020-01-30,22.780001,22.780001,22.780001,22.780001,17.040102,0
2020-01-31,22.820000,22.820000,22.820000,22.820000,17.070021,0
2020-02-03,22.889999,22.889999,22.889999,22.889999,17.122385,0
2020-02-04,22.969999,22.969999,22.969999,22.969999,17.182228,0
2020-02-05,23.040001,23.040001,23.040001,23.040001,17.234591,0
2020-02-06,23.080000,23.080000,23.080000,23.080000,17.264509,0
2020-02-07,22.969999,22.969999,22.969999,22.969999,17.182228,0
2020-02-10,23.049999,23.049999,23.049999,23.049999,17.242071,0
2020-02-11,23.129999,23.129999,23.129999,23.129999,17.301908,0
2020-02-12,23.280001,23.280001,23.280001,23.280001,17.414116,0
2020-02-13,23.260000,23.260000,23.260000,23.260000,17.399153,0
2020-02-14,23.290001,23.290001,23.290001,23.290001,17.421595,0
2020-02-18,23.280001,23.280001,23.280001,23.280001,17.414116,0
2020-02-19,23.389999,23.389999,23.389999,23.389999,17.496397,0
2020-02-20,23.379999,23.379999,23.379999,23.379999,17.488918,0
2020-02-21,23.350000,23.350000,23.350000,23.350000,17.466478,0
2020-02-24,23.090000,23.090000,23.090000,23.090000,17.271988,0
2020-02-25,23.090000,23.090000,23.090000,23.090000,17.271988,0
2020-02-26,23.049999,23.049999,23.049999,23.049999,17.242071,0
2020-02-27,23.070000,23.070000,23.070000,23.070000,17.257030,0
