Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,25.020000,25.020000,25.020000,25.020000,24.621811,0
2020-01-03,25.360001,25.360001,25.360001,25.360001,24.956400,0
2020-01-06,25.450001,25.450001,25.450001,25.450001,25.044968,0
2020-01-07,25.700001,25.700001,25.700001,25.700001,25.290989,0
2020-01-08,25.680000,25.680000,25.680000,25.680000,25.271307,0
2020-01-09,25.620001,25.620001,25.620001,25.620001,25.212263,0
2020-01-10,25.629999,25.629999,25.629999,25.629999,25.222101,0
2020-01-13,25.520000,25.520000,25.520000,25.520000,25.113853,0
2020-01-14,25.719999,25.719999,25.719999,25.719999,25.310669,0
2020-01-15,25.730000,25.730000,25.730000,25.730000,25.320511,0
2020-01-16,25.700001,25.700001,25.700001,25.700001,25.290989,0
2020-01-17,25.799999,25.799999,25.799999,25.799999,25.389395,0
2020-01-21,25.740000,25.740000,25.740000,25.740000,25.330351,0
2020-01-22,25.500000,25.500000,25.500000,25.500000,25.094172,0
2020-01-23,25.230000,25.230000,25.230000,25.230000,24.828466,0
2020-01-24,25.190001,25.190001,25.190001,25.190001,24.789104,0
2020-01-27,25.020000,25.020000,25.020000,25.020000,24.621811,0
2020-01-28,25.209999,25.209999,25.209999,25.209999,24.808784,0
2020-01-29,25.299999,25.299999,25.299999,25.299999,24.897354,0
2020-01-30,25.250000,25.250000,25.250000,25.250000,24.848148,0
2020-01-31,25.420000,25.420000,25.420000,25.420000,25.015444,0
2020-02-03,25.290001,25.290001,25.290001,25.290001,24.887516,0
2020-02-04,25.610001,25.610001,25.610001,25.610001,25.202421,0
2020-02-05,26.059999,26.059999,26.059999,26.059999,25.645258,0
2020-02-06,26.139999,26.139999,26.139999,26.139999,25.723984,0
2020-02-07,26.120001,26.120001,26.120001,26.120001,25.704304,0
2020-02-10,25.940001,25.940001,25.940001,25.940001,25.527170,0
2020-02-11,26.150000,26.150000,26.150000,26.150000,25.733828,0
2020-02-12,26.320000,26.320000,26.320000,26.320000,25.901121,0
2020-02-13,26.129999,26.129999,26.129999,26.129999,25.714144,0
2020-02-14,26.170000,26.170000,26.170000,26.170000,25.753510,0
2020-02-18,26.219999,26.219999,26.219999,26.219999,25.802711,0
2020-02-19,26.280001,26.280001,26.280001,26.280001,25.861759,0
2020-02-20,26.170000,26.170000,26.170000,26.170000,25.753510,0
2020-02-21,26.059999,26.059999,26.059999,26.059999,25.645258,0
2020-02-24,25.650000,25.650000,25.650000,25.650000,25.241783,0
2020-02-25,24.959999,24.959999,24.959999,24.959999,24.562763,0
2020-02-26,24.790001,24.790001,24.790001,24.790001,24.395472,0
2020-02-27,24.309999,24.309999,24.309999,24.309999,23.923109,0
2020-02-28,24.299999,24.299999,24.299999,24.299999,23.913269,0
2020-03-02,24.490000,24.490000,24.490000,24.490000,24.100245,0
2020-03-03,24.240000,24.240000,24.240000,24.240000,23.854223,0
2020-03-04,24.350000,24.350000,24.350000,24.350000,23.962473,0
2020-03-05,24.219999,24.219999,24.219999,24.219999,23.834541,0
2020-03-06,23.870001,23.870001,23.870001,23.870001,23.490114,0
2020-03-09,21.580000,21.580000,21.580000,21.580000,21.236559,0
2020-03-10,22.340000,22.340000,22.340000,22.340000,21.984463,0
2020-03-11,21.280001,21.280001,21.280001,21.280001,20.941332,0
2020-03-12,19.959999,19.959999,19.959999,19.959999,19.642340,0
2020-03-13,20.379999,20.379999,20.379999,20.379999,20.055655,0
2020-03-16,19.480000,19.480000,19.480000,19.480000,19.169977,0
2020-03-17,19.230000,19.230000,19.230000,19.230000,18.923956,0
2020-03-18,18.190001,18.190001,18.190001,18.190001,17.900511,0
2020-03-19,18.809999,18.809999,18.809999,18.809999,18.510641,0
2020-03-20,18.680000,18.680000,18.680000,18.680000,18.382710,0
2020-03-23,18.049999,18.049999,18.049999,18.049999,17.762735,0
2020-03-24,19.400000,19.400000,19.400000,19.400000,19.091251,0
2020-03-25,19.440001,19.440001,19.440001,19.440001,19.130615,0
2020-03-26,19.610001,19.610001,19.610001,19.610001,19.297911,0
2020-03-27,19.540001,19.540001,19.540001,19.540001,19.229023,0
